"0";"Sécurisé — Cargaisons de caravane"
"1";"Double-cliquez pour appliquer à un emplacement d'infusion inutilisé. Infuse la pièce d'armure d'une super aura."
"2";"Permet d'échanger ce plan contre un plan de catapulte fonctionnel."
"3";"%str1%,

D'après les informations collectées après l'opération de la Vallée des esprits, nous avons de bonnes raisons de croire que le chef d'escouade disparu est retenu prisonnier dans le complexe des bandits situé au nord de la Jungle de Maguuma. Nous ne savons pas ce qui vous attend, mais une étrange activité a été relevée au-delà du mur extérieur. Soyez prudent[f:"prudente"].

Formez une équipe de sauvetage au point de rassemblement indiqué. Bonne chance.

– Falgeir
"
"4";"Le temps de recharge de Larcin est réinitialisé quand vous esquivez une attaque avec succès en maniant une épée ou une lance. Les épées et les lances infligent plus de dégâts."
"5";"Une holographie solide ultramoderne."
"6";"Double-cliquez pour appliquer à un emplacement d'infusion inutilisé. Infuse la pièce d'armure d'une super aura."
"7";"Ensemble de sac à dos et deltaplane d'ailes de faucon"
